COMMODITY_SITC,COUNTRY_ORIGIN,STATE_DEST,FREQ,TIME_PERIOD,value
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-01,942808
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-02,652473
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-03,932181
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-04,795238
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-05,911216
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-06,920864
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-07,804007
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-08,884260
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-09,837211
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-10,892834
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-11,678330
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2001-12,691631
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-01,649303
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-02,699927
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-03,716343
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-04,667462
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-05,824727
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-06,683698
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-07,704701
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-08,864950
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-09,618148
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-10,1036163
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-11,861119
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2002-12,979467
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-01,1148507
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-02,796323
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-03,1067790
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-04,951107
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-05,750043
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-06,820757
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-07,624160
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-08,740196
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-09,836611
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-10,772609
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-11,659257
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2003-12,863326
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-01,737669
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-02,878338
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-03,962525
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-04,1031787
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-05,1031787
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-06,962004
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-07,1067527
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-08,1042778
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-09,1226302
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-10,1300397
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-11,1310114
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2004-12,1311920
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-01,981001
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-02,1026000
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-03,1431095
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-04,1388443
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-05,1482503
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-06,1501383
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-07,1587375
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-08,1390392
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-09,1473976
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-10,1709341
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-11,1587540
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2005-12,1659823
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-01,1800205
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-02,1975513
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-03,1939299
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-04,1832346
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-05,2363345
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-06,2225217
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-07,1865682
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-08,2054191
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-09,1764270
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-10,1832171
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-11,1573886
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2006-12,1957356
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-01,1586115
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-02,1550826
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-03,1952583
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-04,1830954
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-05,2128712
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-06,2086114
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-07,1860216
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-08,2205772
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-09,2057989
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-10,2331429
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-11,2411493
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2007-12,2439530
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-01,2741164
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-02,2601000
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-03,2788569
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-04,2906012
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-05,3277332
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-06,2932908
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-07,3736656
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-08,2822336
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-09,3344934
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-10,3462155
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-11,2557883
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2008-12,2322365
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-01,2013654
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-02,1998894
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-03,1865892
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-04,1869410
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-05,1869180
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-06,2101306
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-07,2504523
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-08,1882725
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-09,2316163
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-10,2113964
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-11,2180025
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2009-12,2695466
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-01,1988934
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-02,2162928
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-03,2395424
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-04,2549225
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-05,2224658
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-06,2494715
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-07,2565042
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-08,2221079
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-09,2463711
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-10,2229556
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-11,2533253
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2010-12,3014309
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-01,2244532
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-02,2817846
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-03,3465027
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-04,3340942
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-05,3147532
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-06,3509676
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-07,3066514
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-08,3400139
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-09,3022271
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-10,3246155
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-11,3217795
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2011-12,3802103
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-01,3136666
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-02,3202107
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-03,3939886
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-04,3255761
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-05,3712084
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-06,2944772
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-07,3191354
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-08,3742229
"Mineral fuels, lubricants and related materials",Total,Total,Monthly,2012-09,3177121
