MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,value
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2022-Q2,137.4
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2022-Q3,133.1
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2022-Q4,132.6
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2023-Q1,105.5
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2023-Q2,97.1
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2023-Q3,107.8
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2023-Q4,108.4
Implicit Price Indexes,Other petroleum products,Imports,Original,Quarterly,2024-Q1,99.4
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2020-Q1,-165.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2020-Q2,-176.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2020-Q3,-165.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2020-Q4,-162.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2021-Q1,-195.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2021-Q2,-203.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2021-Q3,-224.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2021-Q4,-118.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2022-Q1,-106.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2022-Q2,-121.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2022-Q3,-143.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2022-Q4,-107.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2023-Q1,-91.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2023-Q2,-108.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2023-Q3,-117.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2023-Q4,-101.0
Chain Volume Measures,Parts and accessories for office machines,Imports,Original,Quarterly,2024-Q1,-113.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2020-Q1,-569.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2020-Q2,-592.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2020-Q3,-611.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2020-Q4,-581.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2021-Q1,-592.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2021-Q2,-666.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2021-Q3,-682.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2021-Q4,-677.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2022-Q1,-655.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2022-Q2,-696.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2022-Q3,-774.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2022-Q4,-746.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2023-Q1,-744.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2023-Q2,-801.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2023-Q3,-857.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2023-Q4,-776.0
Chain Volume Measures,"Electrical switches, relays, etc",Imports,Original,Quarterly,2024-Q1,-867.0
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2020-Q1,84.0
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2020-Q2,67.2
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2020-Q3,57.4
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2020-Q4,48.3
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2021-Q1,63.3
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2021-Q2,73.5
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2021-Q3,90.0
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2021-Q4,100.1
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2022-Q1,98.7
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2022-Q2,109.1
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2022-Q3,117.7
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2022-Q4,105.6
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2023-Q1,85.0
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2023-Q2,91.8
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2023-Q3,85.8
Implicit Price Indexes,Carboxylic acids and their derivatives,Imports,Original,Quarterly,2023-Q4,88.2
