MEASURE,DATA_ITEM,TSEST,FREQ,TIME_PERIOD,value
Current Prices,"Financial account, Direct investment",Original,Quarterly,2023-Q3,-333
Current Prices,"Financial account, Direct investment",Original,Quarterly,2023-Q4,25032
Current Prices,"Financial account, Direct investment",Original,Quarterly,2024-Q1,15855
Current Prices,"Financial account, Other investment",Original,Quarterly,2022-Q1,13488
Current Prices,"Financial account, Other investment",Original,Quarterly,2022-Q2,-54911
Current Prices,"Financial account, Other investment",Original,Quarterly,2022-Q3,-11333
Current Prices,"Financial account, Other investment",Original,Quarterly,2022-Q4,6018
Current Prices,"Financial account, Other investment",Original,Quarterly,2023-Q1,-5232
Current Prices,"Financial account, Other investment",Original,Quarterly,2023-Q2,7970
Current Prices,"Financial account, Other investment",Original,Quarterly,2023-Q3,8554
Current Prices,"Financial account, Other investment",Original,Quarterly,2023-Q4,-3057
Current Prices,"Financial account, Other investment",Original,Quarterly,2024-Q1,10094
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2022-Q1,-4
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2022-Q2,-12
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2022-Q3,-11
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2022-Q4,-14
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2023-Q1,-14
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2023-Q2,-63
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2023-Q3,-52
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2023-Q4,-20
Current Prices,"Capital account debits, Gross acquisitions of non-produced non-financial assets",Original,Quarterly,2024-Q1,-28
Current Prices,Capital and financial account,Original,Quarterly,2022-Q1,-6137
Current Prices,Capital and financial account,Original,Quarterly,2022-Q2,-15225
Current Prices,Capital and financial account,Original,Quarterly,2022-Q3,6004
