COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,value
Beverages and tobacco,Total,Total,Monthly,2015-03,204908
Beverages and tobacco,Total,Total,Monthly,2015-04,188545
Beverages and tobacco,Total,Total,Monthly,2015-05,215134
Beverages and tobacco,Total,Total,Monthly,2015-06,229525
Beverages and tobacco,Total,Total,Monthly,2015-07,201595
Beverages and tobacco,Total,Total,Monthly,2015-08,207234
Beverages and tobacco,Total,Total,Monthly,2015-09,231778
Beverages and tobacco,Total,Total,Monthly,2015-10,236002
Beverages and tobacco,Total,Total,Monthly,2015-11,213238
Beverages and tobacco,Total,Total,Monthly,2015-12,250918
Beverages and tobacco,Total,Total,Monthly,2016-01,159546
Beverages and tobacco,Total,Total,Monthly,2016-02,189154
Beverages and tobacco,Total,Total,Monthly,2016-03,201733
Beverages and tobacco,Total,Total,Monthly,2016-04,206969
Beverages and tobacco,Total,Total,Monthly,2016-05,200721
Beverages and tobacco,Total,Total,Monthly,2016-06,232392
Beverages and tobacco,Total,Total,Monthly,2016-07,214618
Beverages and tobacco,Total,Total,Monthly,2016-08,234445
Beverages and tobacco,Total,Total,Monthly,2016-09,254638
Beverages and tobacco,Total,Total,Monthly,2016-10,251345
Beverages and tobacco,Total,Total,Monthly,2016-11,258023
Beverages and tobacco,Total,Total,Monthly,2016-12,274857
Beverages and tobacco,Total,Total,Monthly,2017-01,173432
Beverages and tobacco,Total,Total,Monthly,2017-02,200274
Beverages and tobacco,Total,Total,Monthly,2017-03,226219
Beverages and tobacco,Total,Total,Monthly,2017-04,232972
Beverages and tobacco,Total,Total,Monthly,2017-05,228481
Beverages and tobacco,Total,Total,Monthly,2017-06,213658
Beverages and tobacco,Total,Total,Monthly,2017-07,247141
Beverages and tobacco,Total,Total,Monthly,2017-08,271572
Beverages and tobacco,Total,Total,Monthly,2017-09,327902
Beverages and tobacco,Total,Total,Monthly,2017-10,292260
Beverages and tobacco,Total,Total,Monthly,2017-11,291167
Beverages and tobacco,Total,Total,Monthly,2017-12,326714
Beverages and tobacco,Total,Total,Monthly,2018-01,169271
Beverages and tobacco,Total,Total,Monthly,2018-02,274133
Beverages and tobacco,Total,Total,Monthly,2018-03,266318
Beverages and tobacco,Total,Total,Monthly,2018-04,234812
Beverages and tobacco,Total,Total,Monthly,2018-05,255352
Beverages and tobacco,Total,Total,Monthly,2018-06,285429
Beverages and tobacco,Total,Total,Monthly,2018-07,253723
Beverages and tobacco,Total,Total,Monthly,2018-08,273592
Beverages and tobacco,Total,Total,Monthly,2018-09,314412
Beverages and tobacco,Total,Total,Monthly,2018-10,304184
Beverages and tobacco,Total,Total,Monthly,2018-11,333135
Beverages and tobacco,Total,Total,Monthly,2018-12,413538
Beverages and tobacco,Total,Total,Monthly,2019-01,203962
Beverages and tobacco,Total,Total,Monthly,2019-02,230658
Beverages and tobacco,Total,Total,Monthly,2019-03,269522
Beverages and tobacco,Total,Total,Monthly,2019-04,265207
Beverages and tobacco,Total,Total,Monthly,2019-05,291908
Beverages and tobacco,Total,Total,Monthly,2019-06,381050
Beverages and tobacco,Total,Total,Monthly,2019-07,292183
Beverages and tobacco,Total,Total,Monthly,2019-08,279237
Beverages and tobacco,Total,Total,Monthly,2019-09,299662
Beverages and tobacco,Total,Total,Monthly,2019-10,351239
Beverages and tobacco,Total,Total,Monthly,2019-11,348263
Beverages and tobacco,Total,Total,Monthly,2019-12,369378
Beverages and tobacco,Total,Total,Monthly,2020-01,220442
Beverages and tobacco,Total,Total,Monthly,2020-02,204287
Beverages and tobacco,Total,Total,Monthly,2020-03,209530
Beverages and tobacco,Total,Total,Monthly,2020-04,213485
Beverages and tobacco,Total,Total,Monthly,2020-05,259564
Beverages and tobacco,Total,Total,Monthly,2020-06,348145
Beverages and tobacco,Total,Total,Monthly,2020-07,270892
Beverages and tobacco,Total,Total,Monthly,2020-08,289185
Beverages and tobacco,Total,Total,Monthly,2020-09,356641
Beverages and tobacco,Total,Total,Monthly,2020-10,375436
Beverages and tobacco,Total,Total,Monthly,2020-11,293377
Beverages and tobacco,Total,Total,Monthly,2020-12,243442
Beverages and tobacco,Total,Total,Monthly,2021-01,128736
Beverages and tobacco,Total,Total,Monthly,2021-02,169233
Beverages and tobacco,Total,Total,Monthly,2021-03,180752
Beverages and tobacco,Total,Total,Monthly,2021-04,206947
Beverages and tobacco,Total,Total,Monthly,2021-05,206831
Beverages and tobacco,Total,Total,Monthly,2021-06,222784
Beverages and tobacco,Total,Total,Monthly,2021-07,212219
Beverages and tobacco,Total,Total,Monthly,2021-08,244256
Beverages and tobacco,Total,Total,Monthly,2021-09,242813
Beverages and tobacco,Total,Total,Monthly,2021-10,204493
Beverages and tobacco,Total,Total,Monthly,2021-11,261001
Beverages and tobacco,Total,Total,Monthly,2021-12,243144
Beverages and tobacco,Total,Total,Monthly,2022-01,161373
Beverages and tobacco,Total,Total,Monthly,2022-02,157978
Beverages and tobacco,Total,Total,Monthly,2022-03,217070
Beverages and tobacco,Total,Total,Monthly,2022-04,199491
Beverages and tobacco,Total,Total,Monthly,2022-05,232841
Beverages and tobacco,Total,Total,Monthly,2022-06,268171
Beverages and tobacco,Total,Total,Monthly,2022-07,185971
Beverages and tobacco,Total,Total,Monthly,2022-08,250101
Beverages and tobacco,Total,Total,Monthly,2022-09,218626
Beverages and tobacco,Total,Total,Monthly,2022-10,206711
Beverages and tobacco,Total,Total,Monthly,2022-11,217688
Beverages and tobacco,Total,Total,Monthly,2022-12,256380
Beverages and tobacco,Total,Total,Monthly,2023-01,132217
Beverages and tobacco,Total,Total,Monthly,2023-02,165214
Beverages and tobacco,Total,Total,Monthly,2023-03,237643
Beverages and tobacco,Total,Total,Monthly,2023-04,179671
Beverages and tobacco,Total,Total,Monthly,2023-05,223326
Beverages and tobacco,Total,Total,Monthly,2023-06,265365
Beverages and tobacco,Total,Total,Monthly,2023-07,202331
Beverages and tobacco,Total,Total,Monthly,2023-08,186162
Beverages and tobacco,Total,Total,Monthly,2023-09,187296
Beverages and tobacco,Total,Total,Monthly,2023-10,248749
Beverages and tobacco,Total,Total,Monthly,2023-11,179285
Beverages and tobacco,Total,Total,Monthly,2023-12,341556
Beverages and tobacco,Total,Total,Monthly,2024-01,158016
Beverages and tobacco,Total,Total,Monthly,2024-02,153815
Beverages and tobacco,Total,Total,Monthly,2024-03,215980
Beverages and tobacco,Total,Total,Monthly,2024-04,269568
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-01,20513
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-02,23994
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-03,32205
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-04,26674
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-05,28573
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-06,22220
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-07,25617
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-08,23314
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-09,27975
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-10,24545
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-11,26152
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2000-12,21991
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-01,20321
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-02,21042
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-03,29598
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-04,22449
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-05,29684
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-06,27443
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-07,24367
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-08,28128
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-09,21049
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-10,26934
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-11,32461
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2001-12,25663
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-01,16989
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-02,24243
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-03,33483
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-04,20981
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-05,23426
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-06,31961
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-07,23894
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-08,37473
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-09,26451
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-10,25282
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-11,25630
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2002-12,27827
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-01,31379
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-02,24375
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-03,23741
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-04,32025
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-05,32359
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-06,13634
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-07,28161
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-08,32350
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-09,24091
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-10,31095
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-11,26613
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2003-12,26575
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-01,24103
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-02,26023
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-03,41684
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-04,32344
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-05,35544
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-06,29875
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-07,31238
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-08,38211
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-09,30274
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-10,20837
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-11,30770
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2004-12,23646
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-01,23576
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-02,25307
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-03,30453
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-04,26388
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-05,26167
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-06,22484
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-07,29246
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-08,15932
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-09,32455
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-10,15389
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-11,13285
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2005-12,34770
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-01,19292
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-02,20353
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-03,26992
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-04,19303
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-05,23538
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-06,25841
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-07,21371
